Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
30	-131.29291	77.038086	-0.51697195	-308.96918	90.62963	-80.82428	23.191444	-37.603638	-186.63474	155000	-0.00274646	1279.8031	0.0	-183.48267	1.3836261	-5.2452087e-10	89.00172662734985
31	-149.20259	84.98921	55.63633	-444.3904	106.08696	-70.69643	28.316685	-34.07519	-244.78427	160000	-0.002687046	2036.5126	0.0	-489.99414	1.3836907	-9.775162e-10	92.18714332580566
32	-168.16948	93.878555	0.8215424	-408.197	90.01818	-86.1852	26.88705	-41.335323	-229.59766	165000	-0.006301022	1751.2034	0.0	-310.4115	1.3833061	7.152558e-11	94.94123029708862
33	-141.79709	79.574066	-4.5853996	-394.9147	92.57407	-83.777115	21.87462	-29.763918	-190.08267	170000	-0.0044588693	1645.2966	0.0	-281.69336	1.3835104	7.6293943e-10	97.70950698852539
34	-154.02191	86.21795	-4.8024144	-417.7437	86.98245	-80.27344	26.916555	-49.86831	-242.77647	175000	-0.006911432	1559.419	0.0	-314.86267	1.3833514	-1.0251999e-09	100.76598405838013
35	-151.05984	80.88524	30.60311	-409.43298	89.0	-90.55104	29.410433	-46.422985	-296.25504	180000	-0.0064958907	1173.9559	0.0	-180.2763	1.3832023	1.168251e-09	103.57948756217957
36	-165.5775	97.14133	-18.473549	-518.4186	89.01786	-86.1593	29.765457	-48.041473	-185.38316	185000	-0.0048963604	2061.085	0.0	-245.51672	1.3832754	1.2397766e-09	106.61722493171692
37	-166.8223	100.94159	-42.82573	-432.3087	91.72222	-90.69198	30.085514	-53.53654	-203.14627	190000	-0.00465442	1702.1685	0.0	-220.9419	1.383054	-5.00679e-10	109.56333470344543
38	-148.38962	79.76167	-19.962872	-353.45038	92.86793	-93.1671	35.580723	-48.984028	-301.0741	195000	-0.0071032373	1918.3484	0.0	-624.21423	1.3831294	7.152558e-11	112.43181443214417
39	-160.41118	93.972	25.78078	-445.26855	89.34545	-77.07701	21.407898	-44.55698	-170.63412	200000	-0.0030673067	2101.6494	0.0	-646.6078	1.3830423	9.536743e-11	115.23292589187622
40	-169.87271	114.948204	9.796871	-428.56577	90.836365	-95.327675	36.90268	-49.780266	-247.62778	205000	-0.008321435	2463.4998	0.0	-366.40527	1.3830063	-3.8146972e-10	118.24710035324097
41	-155.57451	92.812515	-0.018619454	-437.62567	93.49056	-91.106415	35.61539	-45.320137	-317.0215	210000	-0.006664363	1838.9702	0.0	-293.97754	1.3830435	5.9604643e-10	121.04272723197937
42	-152.46367	100.75662	25.036886	-481.9528	92.830185	-83.821815	30.888927	-31.182432	-260.7123	215000	-0.0048023295	2108.186	0.0	-119.33545	1.382969	3.0994415e-10	123.88371276855469
43	-164.90773	99.71514	-11.035678	-420.02142	95.67308	-86.28512	34.11915	-42.48265	-209.88971	220000	-0.00632594	1560.5156	0.0	-186.36609	1.3827726	1.001358e-09	126.90225887298584
44	-159.22469	86.01564	57.738785	-413.48886	117.61905	-85.5085	30.815086	-40.468983	-309.44757	225000	-0.003368122	2447.6694	0.0	-955.24963	1.3831527	1.1205673e-09	130.5419101715088
45	-197.6814	138.1785	85.94091	-683.9458	111.38636	-73.77631	39.698513	54.247326	-283.4801	230000	-0.0054107965	4513.596	0.0	-1708.7759	1.3826514	1.7166137e-09	133.95157289505005
46	-149.57045	108.15216	94.39141	-481.61713	115.69768	-86.361984	48.46122	-3.15054	-284.07178	235000	-0.00508822	3513.436	0.0	-1139.4854	1.3830016	-1.9073486e-10	137.3846151828766
47	-157.7183	83.99367	-50.26952	-372.83905	92.84906	-72.89015	30.402933	-30.032625	-199.47769	240000	-0.008886301	1358.1772	0.0	-474.80597	1.3826613	7.1525574e-10	140.96123719215393
48	-168.49635	93.54543	-10.247644	-417.73663	91.666664	-96.575325	34.89593	-37.138412	-302.3896	245000	-0.008551156	1401.7974	0.0	-245.32031	1.3819534	5.9604643e-10	144.45498371124268
49	-135.74765	74.20005	15.417617	-350.27042	95.92308	-75.965294	21.906437	-28.569935	-163.60176	250000	-0.007159748	1793.6238	0.0	-329.63306	1.3828256	-2.3841857e-11	147.7765953540802
